 	 	160
Ắ	A	7854
ắ	a	7855
Ằ	A	7856
ằ	a	7857
Ẳ	A	7858
ẳ	a	7859
Ẵ	A	7860
ẵ	a	7861
Ặ	A	7862
ặ	a	7863
ɐ	e	592
ɑ	o	593
ɒ	o	594
Æ	AE	198
æ	ae	230
Ǣ	AE	482
ǣ	ae	483
Ǽ	AE	508
ǽ	ae	509
㏂	am	13250
ƀ	b	384
Ɓ	B	385
Ƃ	b	386
ƃ	b	387
Ƅ	b	388
ƅ	b	389
ɓ	b	595
Ｂ	B	65314
ｂ	b	65346
ʙ	B	665
Ḃ	B	7682
ḃ	b	7683
Ḅ	B	7684
ḅ	b	7685
Ḇ	B	7686
ḇ	b	7687
㏃	Bq	13251
ɕ	6	597
Ç	C	199
ç	c	231
Ć	C	262
ć	c	263
Ĉ	C	264
ĉ	c	265
Ċ	C	266
ċ	c	267
Č	C	268
č	c	269
Ɔ	C	390
Ƈ	C	391
ƈ	c	392
ɔ	c	596
Ｃ	C	65315
ｃ	c	65347
ʗ	C	663
Ḉ	C	7688
ḉ	c	7689
㏄	cc	13252
㏅	cd	13253
㎝	cm	13213
㎠	cm	13216
㎤	cm	13220
㏆	Ckg	13254
㎈	cal	13192
㏇	Co.	13255
ð	6	240
Ƌ	a	395
Ð	D	208
Ď	D	270
ď	d	271
Đ	D	272
đ	d	273
Ɗ	D	394
ƌ	d	396
ɗ	d	599
Ｄ	D	65316
ｄ	d	65348
Ḋ	D	7690
ḋ	d	7691
Ḍ	D	7692
ḍ	d	7693
Ḏ	D	7694
ḏ	d	7695
Ḑ	D	7696
ḑ	d	7697
Ḓ	D	7698
ḓ	d	7699
ʤ	d3	676
ð	O	240
ƍ	o	397
㏈	dB	13256
Ǳ	DZ	497
ǲ	Dz	498
ǳ	dz	499
Ɖ	D	393
ɖ	q	598
ʣ	dz	675
ʥ	dz	677
È	E	200
É	E	201
Ê	E	202
Ë	E	203
è	e	232
é	e	233
ê	e	234
ë	e	235
Ē	E	274
ē	e	275
Ĕ	E	276
ĕ	e	277
Ė	E	278
ė	e	279
Ę	E	280
ę	e	281
Ě	E	282
ě	e	283
Ǝ	E	398
Ə	e	399
Ɛ	e	400
ǝ	e	477
Ȅ	E	516
ȅ	e	517
Ȇ	E	518
ȇ	e	519
ȩ	e	553
ɘ	e	600
ə	e	601
ɚ	e	602
ɛ	e	603
ɜ	e	604
ɝ	e	605
ɞ	e	606
Ｅ	E	65317
ｅ	e	65349
ʚ	e	666
Ḕ	E	7700
ḕ	e	7701
Ḗ	E	7702
ḗ	e	7703
Ḙ	E	7704
ḙ	e	7705
Ḛ	E	7706
ḛ	e	7707
Ḝ	E	7708
ḝ	e	7709
Ẹ	E	7864
ẹ	e	7865
Ẻ	E	7866
ẻ	e	7867
Ẽ	E	7868
ẽ	e	7869
Ế	E	7870
ế	e	7871
Ề	E	7872
ề	e	7873
Ể	E	7874
ể	e	7875
Ễ	E	7876
ễ	e	7877
Ệ	E	7878
ệ	e	7879
Ƒ	F	401
ƒ	f	402
Ｆ	F	65318
ｆ	f	65350
Ḟ	F	7710
ḟ	f	7711
㎙	fm	13209
Ĝ	G	284
ĝ	g	285
Ğ	G	286
ğ	g	287
Ġ	G	288
ġ	g	289
Ģ	G	290
ģ	g	291
Ɠ	G	403
Ǥ	G	484
ǥ	g	485
Ǧ	G	486
ǧ	g	487
Ǵ	G	500
ǵ	g	501
ɠ	g	608
ɡ	g	609
ɢ	G	610
Ｇ	G	65319
ｇ	g	65351
ʛ	G	667
Ḡ	G	7712
ḡ	g	7713
Ɣ	Y	404
ɣ	Y	611
ɤ	Y	612
ˠ	Y	736
㎇	GB	13191
㏉	Gy	13257
㎓	GHz	13203
㎬	GPa	13228
Ĥ	H	292
ĥ	h	293
Ħ	H	294
ħ	h	295
ȟ	h	543
ɦ	h	614
Ｈ	H	65320
ｈ	h	65352
ʜ	H	668
ʰ	h	688
ʱ	h	689
Ḣ	H	7714
ḣ	h	7715
Ḥ	H	7716
ḥ	h	7717
Ḧ	H	7718
ḧ	h	7719
Ḩ	H	7720
ḩ	h	7721
Ḫ	H	7722
ḫ	h	7723
ẖ	h	7830
ɥ	u	613
㏊	ha	13258
㏋	HP	13259
㎐	Hz	13200
ƕ	hu	405
ɧ	h	615
Ì	I	204
Í	I	205
Î	I	206
Ï	I	207
ì	i	236
í	i	237
î	i	238
ï	i	239
Ĩ	I	296
ĩ	I	297
Ī	I	298
ī	I	299
Ĭ	I	300
ĭ	i	301
Į	I	302
į	i	303
İ	I	304
ı	i	305
Ɩ	i	406
Ǐ	i	463
ǐ	i	464
Ȉ	i	520
ȉ	i	521
Ȋ	i	522
ȋ	i	523
ɨ	i	616
ɩ	i	617
ɪ	i	618
Ｉ	I	65321
ｉ	i	65353
Ḭ	i	7724
ḭ	i	7725
Ḯ	i	7726
ḯ	i	7727
Ỉ	i	7880
ỉ	i	7881
Ị	i	7882
ị	i	7883
Ɨ	t	407
Ĳ	IJ	306
ĳ	ij	307
㏌	in	13260
ʄ	f	644
Ĵ	J	308
ĵ	J	309
ǰ	j	496
ɟ	j	607
Ｊ	J	65322
ｊ	j	65354
ʝ	j	669
ʲ	j	690
Ķ	K	310
ķ	k	311
ĸ	K	312
Ƙ	K	408
ƙ	k	409
Ǩ	K	488
ǩ	k	489
Ｋ	K	65323
ｋ	k	65355
ʞ	k	670
Ḱ	K	7728
ḱ	k	7729
Ḳ	K	7730
ḳ	k	7731
Ḵ	K	7732
ḵ	k	7733
㎄	kA	13188
㎅	kB	13189
㎏	kg	13199
㏍	KK	13261
㎢	km	13218
㎞	km	13214
㏎	KM	13262
㏏	kt	13263
㎸	kV	13240
㎾	kW	13246
㎦	km	13222
㏀	kQ	13248
㎉	kcal	13193
㎑	kHz	13201
ḷ	!	7735
ļ	]	316
ƛ	^	411
ɭ	|	621
ˡ	|	737
ḹ	|	7737
ḻ	|	7739
ḽ	|	7741
ł	+	322
